An,Bn
1.83056768558952,30.1
1.842,33.8
1.842,34.25
1.842,34.65
1.842,34.7
1.842,35.55
1.842,37.35
1.842,37.9
1.842,38.35
1.842,38.45
1.842,38.8
1.842,39
1.842,39.1
1.842,40.3
1.842,40.45
1.842,42.15
1.842,43.25
1.842,44.85
1.842,49.05
1.842,50.95
1.842,53.05
1.85712027817291,22.55
1.85712027817291,25.65
1.85712027817291,27.35
1.85712027817291,27.65
1.85712027817291,29
1.85712027817291,30.75
1.85712027817291,31.9
1.85712027817291,33.35
1.85712027817291,34
1.85712027817291,34
1.85712027817291,35.2
1.85712027817291,36.6
1.85712027817291,37.9
1.85712027817291,37.95
1.85712027817291,37.95
1.85712027817291,38.05
1.85712027817291,39.15
1.85712027817291,41.95
1.85712027817291,42.2
1.85712027817291,42.4
1.94259259259259,21.95
1.94259259259259,23.2
1.94259259259259,23.25
1.94259259259259,23.6
1.94259259259259,23.95
1.94259259259259,25.3
1.94259259259259,25.4
1.94259259259259,25.55
1.94259259259259,25.8
1.94259259259259,26.1
1.94259259259259,26.1
1.94259259259259,26.3
1.94259259259259,26.4
1.94259259259259,26.55
1.94259259259259,26.65
1.94259259259259,27.55
1.94259259259259,27.7
1.94259259259259,29.2
1.95596330275229,23.65
1.95596330275229,27.15
1.95596330275229,27.9
1.95596330275229,30.45
1.95596330275229,30.85
1.95596330275229,31.4
1.95596330275229,32.9
1.95596330275229,33.6
1.95596330275229,33.8
1.95596330275229,34
1.95596330275229,34.55
1.95596330275229,35.6
1.95596330275229,36.05
1.95596330275229,37.2
1.95596330275229,41.5
1.95596330275229,41.9
1.95596330275229,43.85
1.95596330275229,47.2
1.95596330275229,47.45
1.95596330275229,49.1
1.98449089683075,19.3
1.98449089683075,19.7
1.98449089683075,20.05
1.98449089683075,20.1
1.98449089683075,20.6
1.98449089683075,20.75
1.98449089683075,21.07
1.98449089683075,21.55
1.98449089683075,21.7
1.98449089683075,21.85
1.98449089683075,22.5
1.98449089683075,23.1
1.98449089683075,23.3
1.98449089683075,23.85
1.98449089683075,24.1
1.98449089683075,26.45
1.98449089683075,27.25
1.98449089683075,27.45
1.98449089683075,28.25
1.98684210526316,30.2
1.98684210526316,33.25
1.98684210526316,34.3
1.98684210526316,34.65
1.98684210526316,34.75
1.98684210526316,35.25
1.98684210526316,36.15
1.98684210526316,36.2
1.98684210526316,36.9
1.98684210526316,36.9
1.98684210526316,37.3
1.98684210526316,39.6
1.98684210526316,40.7
1.98684210526316,41
1.98684210526316,42.6
1.98684210526316,44.65
1.98684210526316,45.45
1.98684210526316,46.75
1.98684210526316,46.9
1.98684210526316,50.3
2.02395209580838,28.2
2.02395209580838,30.35
2.02395209580838,30.4
2.02395209580838,30.8
2.02395209580838,31.05
2.02395209580838,31.15
2.02395209580838,31.5
2.02395209580838,32.2
2.02395209580838,32.35
2.02395209580838,32.85
2.02395209580838,33.5
2.02395209580838,33.5
2.02395209580838,33.65
2.02395209580838,33.9
2.02395209580838,34.4
2.02395209580838,34.6
2.02395209580838,34.6
2.02395209580838,34.9
2.02395209580838,35
2.02395209580838,35.2
2.10709677419355,37.3
2.10709677419355,38.35
2.10709677419355,38.45
2.10709677419355,39
2.10709677419355,41.15
2.10709677419355,41.5
2.10709677419355,41.75
2.10709677419355,43.3
2.10709677419355,43.4
2.10709677419355,43.9
2.10709677419355,44.05
2.10709677419355,44.75
2.10709677419355,45.3
2.10709677419355,45.35
2.10709677419355,45.9
2.10709677419355,46.3
2.10709677419355,47.55
2.10709677419355,49.35
2.10709677419355,52
2.10709677419355,54
2.11989100817439,15.45
2.11989100817439,16.65
2.11989100817439,17.05
2.11989100817439,17.25
2.11989100817439,18.35
2.11989100817439,19.3
2.11989100817439,19.55
2.11989100817439,19.65
2.11989100817439,19.8
2.11989100817439,19.9
2.11989100817439,20.05
2.11989100817439,20.8
2.11989100817439,22.5
2.11989100817439,24.25
2.11989100817439,24.9
2.11989100817439,25.1
2.11989100817439,25.7
2.11989100817439,25.95
2.11989100817439,26.55
2.11989100817439,27.95
2.16766467065868,11.15
2.16766467065868,12.05
2.16766467065868,12.3
2.16766467065868,12.45
2.16766467065868,13.85
2.16766467065868,14
2.16766467065868,15.15
2.16766467065868,15.35
2.16766467065868,15.35
2.16766467065868,15.8
2.16766467065868,15.9
2.16766467065868,16.65
2.16766467065868,16.85
2.16766467065868,17.85
2.16766467065868,18.35
2.16766467065868,18.6
2.16766467065868,18.7
2.16766467065868,21.45
2.16766467065868,24.2
2.16766467065868,25.05
2.18061674008811,24.35
2.18061674008811,24.65
2.18061674008811,24.65
2.18061674008811,25.8
2.18061674008811,26.5
2.18061674008811,28.6
2.18061674008811,29.5
2.18061674008811,29.7
2.18061674008811,29.95
2.18061674008811,30.45
2.18061674008811,30.8
2.18061674008811,31.35
2.18061674008811,32.4
2.18061674008811,32.5
2.18061674008811,32.9
2.18061674008811,33.75
2.18061674008811,34.4
2.18061674008811,36.95
2.18061674008811,38.5
2.18061674008811,38.55
2.19614147909968,28.35
2.19614147909968,28.85
2.19614147909968,29.05
2.19614147909968,29.3
2.19614147909968,29.45
2.19614147909968,30.4
2.19614147909968,30.95
2.19614147909968,31.3
2.19614147909968,32.25
2.19614147909968,32.35
2.19614147909968,32.45
2.19614147909968,33.25
2.19614147909968,33.5
